a1,a2,a3,g1,g2,g3,LABEL
6776,-14968,-3320,-312,-241,77,HEALTHY
6736,-15024,-3536,-308,-71,283,HEALTHY
6740,-15092,-3496,-405,-69,316,HEALTHY
6612,-14968,-3312,-543,-154,324,HEALTHY
6548,-14876,-3544,-549,-284,292,HEALTHY
6344,-14900,-3716,-435,-314,202,HEALTHY
6172,-14924,-3636,-304,-276,194,HEALTHY
6304,-14928,-3400,-258,-214,330,HEALTHY
6252,-14972,-3280,-291,-234,365,HEALTHY
6456,-15108,-3476,-239,-282,300,HEALTHY
6552,-15200,-3480,-292,-268,200,HEALTHY
6612,-15080,-3436,-409,-232,216,HEALTHY
6484,-15016,-3412,-469,-197,270,HEALTHY
6452,-14992,-3364,-429,-260,273,HEALTHY
6468,-14800,-3556,-437,-428,286,HEALTHY
6356,-14912,-3736,-395,-447,284,HEALTHY
6540,-14964,-3748,-229,-353,348,HEALTHY
6420,-14884,-3360,-267,-318,542,HEALTHY
6472,-15028,-3236,-457,-474,464,HEALTHY
6448,-15032,-3540,-447,-539,328,HEALTHY
6272,-15012,-3552,-308,-572,260,HEALTHY
6472,-15064,-3376,-261,-535,237,HEALTHY
6480,-15120,-3340,-324,-475,266,HEALTHY
6464,-15056,-3032,-577,-439,275,HEALTHY
6524,-15136,-3428,-585,-353,350,HEALTHY
6264,-15004,-3448,-490,-342,319,HEALTHY
6160,-15200,-3744,-542,-306,310,HEALTHY
6248,-15096,-3724,-555,-357,312,HEALTHY
6080,-15024,-3736,-357,-455,321,HEALTHY
6248,-14912,-3700,-362,-392,292,HEALTHY
6336,-14908,-3776,-376,-446,241,HEALTHY
6372,-14848,-3628,-296,-470,167,HEALTHY
6364,-14980,-3712,-287,-518,104,HEALTHY
6508,-14956,-3668,-316,-473,202,HEALTHY
6500,-14884,-3508,-407,-362,346,HEALTHY
6576,-14928,-3652,-341,-335,385,HEALTHY
6528,-14972,-3540,-356,-314,399,HEALTHY
6412,-15064,-3400,-445,-352,330,HEALTHY
6332,-15132,-3684,-374,-385,261,HEALTHY
6240,-15040,-3736,-389,-347,244,HEALTHY
6164,-15108,-3548,-446,-279,270,HEALTHY
6240,-15204,-3612,-392,-271,260,HEALTHY
6336,-15112,-3716,-298,-86,251,HEALTHY
6444,-15052,-3616,-424,-84,215,HEALTHY
6364,-14768,-3656,-553,-167,193,HEALTHY
6164,-14788,-3536,-464,-329,211,HEALTHY
6152,-14896,-3660,-362,-431,148,HEALTHY
6228,-15012,-3536,-332,-561,106,HEALTHY
6360,-15180,-3632,-306,-481,141,HEALTHY
6480,-15236,-3472,-396,-324,220,HEALTHY
6460,-15136,-3424,-523,-259,287,HEALTHY
6480,-14928,-3504,-533,-274,275,HEALTHY
6184,-15024,-3660,-571,-177,358,HEALTHY
6160,-15052,-3884,-364,-240,263,HEALTHY
6224,-15064,-3556,-363,-248,240,HEALTHY
6044,-15080,-3636,-434,-218,262,HEALTHY
6060,-15168,-3568,-417,-331,197,HEALTHY
6324,-14968,-3576,-394,-323,142,HEALTHY
6324,-14956,-3696,-367,-316,98,HEALTHY
6380,-14960,-3720,-343,-308,104,HEALTHY
6688,-14856,-3400,-421,-180,230,HEALTHY
6600,-14912,-3388,-464,-160,311,HEALTHY
6404,-14940,-3600,-433,-325,271,HEALTHY
6476,-15060,-3748,-270,-578,180,HEALTHY
6616,-14944,-3696,-314,-710,73,HEALTHY
6264,-15044,-3552,-271,-736,182,HEALTHY
6560,-14984,-3684,-324,-766,250,HEALTHY
6412,-14896,-3596,-357,-639,339,HEALTHY
6292,-14984,-3748,-441,-553,338,HEALTHY
6112,-15016,-3848,-321,-663,237,HEALTHY
6452,-14972,-3784,-131,-654,5,HEALTHY
6060,-15128,-3600,-135,-593,117,HEALTHY
5876,-15504,-3060,246,-946,-116,HEALTHY
6424,-15248,-3728,-31,-728,-242,HEALTHY
6344,-15112,-3560,-195,-530,-142,HEALTHY
6336,-14980,-3724,-319,-118,37,HEALTHY
6144,-14948,-3680,-360,-82,165,HEALTHY
6216,-14876,-3684,-422,-87,246,HEALTHY
6360,-14848,-3868,-488,-41,292,HEALTHY
6168,-14972,-3796,-284,-197,284,HEALTHY
6292,-14952,-3616,-153,-406,144,HEALTHY
6324,-14996,-3644,-256,-352,161,HEALTHY
6388,-15056,-3668,-232,-376,169,HEALTHY
6380,-14968,-3572,-214,-475,106,HEALTHY
6388,-14944,-3888,-197,-408,128,HEALTHY
6440,-14892,-3836,-197,-222,174,HEALTHY
6448,-14872,-3652,-143,-76,232,HEALTHY
6404,-14852,-3528,-242,-183,203,HEALTHY
6468,-14980,-3588,-270,-299,165,HEALTHY
6376,-14956,-3588,-238,-305,180,HEALTHY
6304,-15036,-3692,-100,-364,97,HEALTHY
6432,-14888,-3592,-135,-322,112,HEALTHY
6304,-14952,-3428,-247,-286,297,HEALTHY
6340,-15164,-3468,-344,-287,255,HEALTHY
6292,-15052,-3468,-351,-282,255,HEALTHY
6288,-14936,-3716,-294,-270,186,HEALTHY
6368,-15028,-3836,-247,-287,155,HEALTHY
6432,-14872,-3480,-298,-244,226,HEALTHY
6464,-15008,-3404,-336,-308,240,HEALTHY
6372,-14992,-3332,-368,-364,248,HEALTHY
6460,-14944,-3796,-407,-375,228,HEALTHY
6212,-14964,-3508,-354,-366,246,HEALTHY
